station_id,station_name,lat,lon,capacity,capacity_class,is_charging_station,is_superstation,valet_hours,primary_area_type,context_tags,context_summary,nearest_subway_station,distance_to_subway_m,near_subway,nearest_park_or_recreation,distance_to_park_m,near_park_or_recreation,nearest_tourist_or_event_place,distance_to_tourist_or_event_m,near_tourist_or_event,nearest_major_road,distance_to_major_road_m,near_major_road,is_waterfront,is_downtown_core,is_residential_context,historical_arrivals_per_day,historical_departures_per_day,historical_net_flow_per_day,historical_usage_class,historical_return_risk_class,agent_hint,source,source_notes
7576,Front St E / Bayview Avenue,43.6535,-79.354068,23,medium,False,False,,park_trail,medium|park_trail|near_park,Medium park trail station near a park or trail.,Yonge / King Southeast corner,1932,False,,72,True,Distillery District,559,False,Adelaide Street East,214,False,False,False,True,23.86,24.74,-0.88,high,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7577,Oak St / Sumach St,43.6617908,-79.361515,27,large,False,False,,park_trail,large|park_trail|downtown_core|near_park,Large park trail station in the downtown core and near a park or trail.,Bloor Street,1416,False,Regent Park,88,True,Old Don Jail,746,False,Gerrard Street East,148,False,False,True,False,18.51,20.74,-2.23,high,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7578,Oak St / Parliament St,43.66081,-79.366238,15,small,False,False,,park_trail,small|park_trail|downtown_core|near_park|near_major_road,"Small park trail station in the downtown core, near a park or trail and on a major road.",Sankofa Square Elevator,1247,False,Anniversary Park,179,True,Allan Gardens Conservatory,718,False,Parliament Street,27,True,False,True,False,,,,unknown,unknown,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; no ridership data for this station — historical columns are unknown"
7579,Glebe Rd W / Yonge St,43.700775999664074,-79.39742010185242,19,medium,False,False,,park_trail,medium|park_trail|near_subway|near_park|near_major_road,"Medium park trail station near subway, near a park or trail and on a major road.",Davisville Centre Entrance,242,True,Fiona Nelson Parkette,204,True,The Al Green Gallery / Green Family Companies,522,False,Yonge Street,33,True,False,False,True,3.28,3.75,-0.47,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7580,Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,15,small,False,False,,park_trail,small|park_trail|near_subway|near_park|near_major_road,"Small park trail station near subway, near a park or trail and on a major road.",Yonge St Entrance,267,True,Hillsdale Avenue Park,159,True,The Al Green Gallery / Green Family Companies,758,False,Yonge Street,42,True,False,False,True,4.03,4.54,-0.52,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7581,High Park Ave / Dundas St W,43.6653032,-79.4701178,15,small,False,False,,park_trail,small|park_trail|near_park|near_major_road,Small park trail station near a park or trail and on a major road.,High Park Avenue,1295,False,Vine Avenue Playground,189,True,Fly on the Wall Gallery,1423,False,Dundas Street West,26,True,False,False,True,6.77,6.68,0.09,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7582,Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,16,medium,False,False,,park_trail,medium|park_trail|near_park,Medium park trail station near a park or trail.,Cedarvale Entrance,861,False,,234,True,Little House,1132,False,Eglinton Avenue West,803,False,False,False,True,0.82,0.95,-0.13,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7583,Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,23,medium,False,False,,park_trail,medium|park_trail|near_park|near_major_road,Medium park trail station near a park or trail and on a major road.,Mount Dennis Station Main Entrance,1860,False,Scarlett Heights Park,113,True,Duck pond,1434,False,Scarlett Road,17,True,False,False,True,2.82,2.6,0.22,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7584,The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,27,large,False,False,,park_trail,large|park_trail|near_park,Large park trail station near a park or trail.,,480,False,The Roy McMurtry Green,126,True,The Basketweave,5690,False,Keele Street,789,False,False,False,True,2.81,3.09,-0.29,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7587,Dufferin St / Finch Corridor Trail,43.77299391821548,-79.46762962248485,19,medium,False,False,,residential,medium|residential|near_major_road,Medium residential station on a major road.,Four Winds Drive,2070,False,,685,False,John Mckenzie House,4514,False,Dufferin Street,69,True,False,False,True,0.64,0.69,-0.05,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7588,G Ross Lord Park,43.7781116,-79.467963,19,medium,False,False,,residential,medium|residential,Medium residential station.,Four Winds Drive,2339,False,G. Ross Lord Park,654,False,John Mckenzie House,4594,False,Dufferin Street,93,False,False,False,True,1.05,1.06,-0.02,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
